[2019-02-18 14:02:04] main.ERROR: Error: Application is not installed yet.  [] []
[2019-02-18 14:09:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/session/prolong","invalidateInfo":{"tags":["interception","CONFIG"],"mode":"matchingTag"}} []
[2019-02-18 14:09:39] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_17","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:40] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_18","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:41] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:42] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_19","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:43] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_20","FPC"],"mode":"matchingTag"}} []
[2019-02-18 14:09:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2019-02-18 14:09:44] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://localhost/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
